store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude	Wheelchair-YES	Audio-YES
2	BF Homes	"Pres. Avenue cor. Aguirre St., BF Homes, Paranaque"	8425445	NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF PARAãAQUE	14.4486	121.03		
3	Libertad	Libertad St. cor. Harrison St. Pasay City	7998456	NCR - National Capital Region	"NCR, FOURTH DISTRICT"	PASAY CITY	14.5462	120.994		
4	Naghatan	"Nagtahan cor. J.P.  Laurel, Sta. Mesa Mla."	7150963	NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	SAMPALOC	14.6006	120.999		
5	U.N. Avenue	"United Nation Ave., Ermita Manila"	5218746	NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	ERMITA	14.583	120.987		
7	Quiapo	Beside Quiapo Church Quezon Blvd. Manila	7336051	NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	QUIAPO	14.599	120.984		
8	Faura	Adriatico St. cor. P. Faura Ermita Manila	5257595	NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	ERMITA	14.5776	120.982		
10	Munoz	"Roosevelt Ave. Nr. Cor. EDSA, Quezon City"	3737577	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.657	121.019		
11	Baclaran 1	"Airport Quirino Ave., Baclaran Paranque"	8527152	NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF PARAãAQUE	14.5273	120.997		
12	Roces	"A. Roces Cor. Quezon Ave., Quezon City"	2638473	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.6332	121.02		
17	Buendia	Buendia Ave. Nr Cor Taft Ave. Pasay City	5512408	NCR - National Capital Region	"NCR, FOURTH DISTRICT"	PASAY CITY	14.554	120.998		
20	Boni	"Boni Ave. Cor. EDSA, Mandaluyong City"	5313156	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF MANDALUYONG	14.5728	121.047		
22	Retiro	"Retiro St. Cor. Dimasalang St., Sampaloc Mla."	7426480	NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	SAMPALOC	14.624	120.989		
24	Paco 1	Pedro Gil St. Cor. Paz St. Paco Manila	5638811	NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	PACO	14.5787	120.995		
30	Burgos	"Libertad St. Cor.  Burgos St., Pasay City"	8332508	NCR - National Capital Region	"NCR, FOURTH DISTRICT"	PASAY CITY	14.5481	121.001		
31	Barangka	"Boni Ave. Cor. Barranca Drive, Mandaluyong City"	6544297	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF MANDALUYONG	14.5757	121.041		
33	Dapitan	"Maceda St. Cor. Dapitan St., Sampaloc Mla."	7126042	NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	SAMPALOC	14.6177	120.995		
35	Pasig Church	"Caruncho Ave. Cor. Sixto Antonio St., Pasig City"	6412137	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF PASIG	14.5607	121.077		
36	JRC-Shaw	"ShawBlvd. Cor. Kalentong St., Mandaluyong"	5316722	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF MANDALUYONG	14.5936	121.027		
37	Novaliches 1	"Gen. Luis St. Cor. Austria St., Nova. Q.C."	9373516	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.7219	121.039		
38	PILAR	"ALABANG ZAPOTE RD. COR. PILAR, LAS PIãAS"	8003710	NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF LAS PIãAS	14.4317	121.014		
39	MCU	EDSA Cor. Asucion St. Caloocan City	3636279	NCR - National Capital Region	"NCR, THIRD DISTRICT"	CALOOCAN CITY	14.6574	120.988		
40	Almeda	"Almeda St. Cor., M. Concepcion St. Pasig City"	6435147	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF PASIG	14.5515	121.074		
41	Marulas	"McArthur Hway Cor. Pio Valenzuela, Val."	2916485	NCR - National Capital Region	"NCR, THIRD DISTRICT"	CITY OF VALENZUELA	14.6736	120.982		
